Opcode[4] Funct[3] MemtoReg Branch MemWrite RegWrite ALUSrc RegDst
0000 000 0 0 0 1 0 1 
0000 001 0 0 0 1 0 1 
0000 010 0 0 0 1 0 1 
0000 110 0 0 0 1 0 1 
0000 111 0 0 0 1 0 1 
0001 000 1 0 0 1 1 0 
0001 001 1 0 0 1 1 0 
0001 010 1 0 0 1 1 0 
0001 110 1 0 0 1 1 0 
0001 111 1 0 0 1 1 0 
0010 000 0 0 1 0 1 0 
0010 001 0 0 1 0 1 0 
0010 010 0 0 1 0 1 0 
0010 110 0 0 1 0 1 0 
0010 111 0 0 1 0 1 0 
0011 000 0 1 0 0 0 0 
0011 001 0 1 0 0 0 0 
0011 010 0 1 0 0 0 0 
0011 110 0 1 0 0 0 0 
0011 111 0 1 0 0 0 0 
0101 000 0 0 0 1 1 0 
0101 001 0 0 0 1 1 0 
0101 010 0 0 0 1 1 0 
0101 110 0 0 0 1 1 0 
0101 111 0 0 0 1 1 0 
